                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.1545,                0.99809,                0.85685,                0.85867,                0.83333,                0.83638,                0.61111,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                 1.1237,                0.92848,                0.88689,                0.85867,                0.83333,                0.83638,                0.61111,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                 1.1165,                 1.0335,                0.91714,                0.86942,                0.83333,                0.84575,                0.61139,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                 1.1241,                  1.199,                0.94925,                0.86942,                0.83333,                0.84575,                0.61139,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                 1.0689,                 1.2151,                0.93124,                0.86584,                0.83333,                  0.995,                0.69314,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                 1.0967,                 1.1658,                0.95069,                0.86584,                0.83333,                  0.995,                0.69314,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                 1.0884,                 1.0674,                0.90092,                0.87938,                0.83333,                  0.995,                0.69875,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                 1.1831,                 1.2559,                0.93601,                0.87938,                0.83333,                  0.995,                0.69875,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                   1.11,                 1.2018,                0.96852,                0.88759,                0.83333,                  0.995,                0.69575,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                 1.0662,                 1.2259,                0.89509,                0.88759,                0.83333,                  0.995,                0.69575,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                 1.0807,                 1.0847,                0.91312,                0.88818,                0.83333,                  0.995,                0.69256,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                 1.1455,                 1.3239,                0.93486,                0.88818,                0.83333,                  0.995,                0.69256,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                 1.0982,                 1.1866,                0.88315,                0.89042,                0.83333,                  0.995,                0.66251,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
